BlackElo_broad,WhiteElo_broad,Opening_broad,death_position,killed_piece_id,killed_by_piece_id,counts
0-1249,1250-1499,Other,c6,W-N-g,B-P-d,1
0-1249,1250-1499,Other,c6,W-P-c,B-R-h,1
0-1249,1250-1499,Other,c6,W-P-d,B-K,1
0-1249,1250-1499,Other,c7,B-P-c,W-N-b,2
0-1249,1250-1499,Other,c7,B-P-c,W-R-h,1
0-1249,1250-1499,Other,c7,B-R-a,W-Q,1
0-1249,1250-1499,Other,c7,W-N-b,B-Q,1
0-1249,1250-1499,Other,c8,B-B-c,W-P-a,1
0-1249,1250-1499,Other,c8,W-P-a,B-R-h,1
0-1249,1250-1499,Other,d4,B-N-b,W-N-g,1
0-1249,1250-1499,Other,d4,B-N-b,W-P-e,1
0-1249,1250-1499,Other,d4,B-N-b,W-Q,1
0-1249,1250-1499,Other,d4,B-P-d,W-N-b,1
0-1249,1250-1499,Other,d4,B-P-e,W-N-g,1
0-1249,1250-1499,Other,d4,B-P-e,W-Q,2
0-1249,1250-1499,Other,d4,W-N-g,B-B-f,1
0-1249,1250-1499,Other,d4,W-N-g,B-N-b,1
0-1249,1250-1499,Other,d4,W-P-d,B-P-e,4
0-1249,1250-1499,Other,d4,W-Q,B-R-a,1
0-1249,1250-1499,Other,d5,B-P-d,W-P-e,1
0-1249,1250-1499,Other,d5,B-P-d,W-P-f,1
0-1249,1250-1499,Other,d6,B-N-g,W-B-c,1
0-1249,1250-1499,Other,d6,B-P-d,W-Q,1
0-1249,1250-1499,Other,d6,B-P-d,W-R-a,1
0-1249,1250-1499,Other,d6,W-B-c,B-Q,1
0-1249,1250-1499,Other,d6,W-R-a,B-K,1
0-1249,1250-1499,Other,d7,B-P-d,W-R-h,1
0-1249,1250-1499,Other,e4,B-N-g,W-P-f,1
0-1249,1250-1499,Other,e4,B-N-g,W-Q,1
0-1249,1250-1499,Other,e4,W-P-e,B-N-g,2
0-1249,1250-1499,Other,e5,B-P-e,W-N-g,1
0-1249,1250-1499,Other,e5,B-P-e,W-Q,1
0-1249,1250-1499,Other,e6,B-B-c,W-P-e,1
0-1249,1250-1499,Other,e6,B-N-g,W-N-g,1
0-1249,1250-1499,Other,e6,B-P-e,W-P-d,1
0-1249,1250-1499,Other,e6,B-P-f,W-R-a,1
0-1249,1250-1499,Other,e6,W-N-g,B-B-c,1
0-1249,1250-1499,Other,e6,W-P-d,B-N-g,1
0-1249,1250-1499,Other,e6,W-P-e,B-P-f,1
0-1249,1250-1499,Other,e7,B-B-f,W-R-a,1
0-1249,1250-1499,Other,e7,B-B-f,W-R-h,1
0-1249,1250-1499,Other,e7,W-N-b,B-R-a,1
0-1249,1250-1499,Other,e7,W-R-a,B-K,1
0-1249,1250-1499,Other,e8,B-R-h,W-Q,1
0-1249,1250-1499,Other,e8,W-Q,B-K,1
0-1249,1250-1499,Other,f2,W-P-f,B-B-f,1
0-1249,1250-1499,Other,f2,W-P-f,B-Q,3
0-1249,1250-1499,Other,f4,B-B-f,W-N-b,1
0-1249,1250-1499,Other,f4,W-N-b,B-P-e,1
0-1249,1250-1499,Other,f5,B-B-c,W-Q,1
0-1249,1250-1499,Other,f5,B-P-f,W-P-e,1
0-1249,1250-1499,Other,f5,W-P-e,B-B-c,1
0-1249,1250-1499,Other,f6,B-N-g,W-P-e,1
0-1249,1250-1499,Other,f6,B-N-g,W-Q,1
0-1249,1250-1499,Other,f6,B-P-g,W-R-h,1
0-1249,1250-1499,Other,f6,B-Q,W-Q,1
0-1249,1250-1499,Other,f6,W-P-e,B-P-g,1
0-1249,1250-1499,Other,f6,W-Q,B-P-g,1
0-1249,1250-1499,Other,f7,B-P-f,W-Q,1
0-1249,1250-1499,Other,f7,B-P-f,W-R-h,1
0-1249,1250-1499,Other,g2,B-Q,W-R-h,1
0-1249,1250-1499,Other,g2,W-P-g,B-Q,1
0-1249,1250-1499,Other,g2,W-P-g,B-R-h,1
0-1249,1250-1499,Other,g2,W-R-h,B-B-c,1
0-1249,1250-1499,Other,g5,B-P-h,W-N-g,1
0-1249,1250-1499,Other,g5,W-B-c,B-P-h,1
0-1249,1250-1499,Other,g5,W-N-g,B-P-g,1
0-1249,1250-1499,Other,g5,W-P-g,B-R-h,1
0-1249,1250-1499,Other,g6,B-P-g,W-N-g,1
0-1249,1250-1499,Other,g6,W-N-g,B-P-f,1
0-1249,1250-1499,Other,g7,B-P-g,W-Q,2
0-1249,1250-1499,Other,h2,W-P-h,B-B-f,1
0-1249,1250-1499,Other,h3,B-B-c,W-P-g,1
0-1249,1250-1499,Other,h3,B-P-h,W-R-h,1
0-1249,1250-1499,Other,h3,B-Q,W-B-f,1
0-1249,1250-1499,Other,h3,W-P-g,B-Q,1
0-1249,1250-1499,Other,h3,W-P-h,B-B-c,2
0-1249,1250-1499,Other,h3,W-P-h,B-R-h,1
0-1249,1250-1499,Other,h3,W-R-h,B-Q,1
0-1249,1250-1499,Other,h6,B-B-f,W-B-c,1
0-1249,1250-1499,Other,h6,B-N-g,W-R-h,1
0-1249,1250-1499,Other,h6,B-P-h,W-Q,1
0-1249,1250-1499,Other,h6,W-B-c,B-N-g,2
0-1249,1250-1499,Other,h6,W-R-h,B-B-f,1
0-1249,1250-1499,Other,h8,B-R-h,W-Q,1
0-1249,1250-1499,Queen's Gambit,b4,B-P-b,W-Q,1
0-1249,1250-1499,Queen's Gambit,c7,B-P-c,W-N-b,1
0-1249,1250-1499,Queen's Gambit,d2,B-B-f,W-Q,1
0-1249,1250-1499,Queen's Gambit,d2,W-B-c,B-B-f,1
0-1249,1250-1499,Queen's Gambit,d5,B-Q,W-N-b,1
0-1249,1250-1499,Queen's Gambit,d5,W-N-b,B-N-b,1
0-1249,1250-1499,Queen's Gambit,h3,B-N-b,W-P-g,1
0-1249,1250-1499,Queen's Gambit,h3,W-P-h,B-N-b,1
0-1249,1250-1499,Queen's Pawn Game,a1,W-R-a,B-Q,1
0-1249,1250-1499,Queen's Pawn Game,a7,B-P-a,W-Q,1
0-1249,1250-1499,Queen's Pawn Game,a8,B-R-a,W-Q,1
0-1249,1250-1499,Queen's Pawn Game,b7,B-P-b,W-Q,1
0-1249,1250-1499,Queen's Pawn Game,c5,B-P-c,W-P-d,1
0-1249,1250-1499,Queen's Pawn Game,c5,W-P-d,B-N-g,1
0-1249,1250-1499,Queen's Pawn Game,d3,B-B-c,W-Q,1
0-1249,1250-1499,Queen's Pawn Game,d3,W-B-f,B-B-c,1
0-1249,1250-1499,Queen's Pawn Game,e7,B-P-e,W-Q,1
0-1249,1250-1499,Queen's Pawn Game,f6,W-Q,B-Q,1
0-1249,1250-1499,Scandinavian Defense,a6,B-B-c,W-R-a,1
0-1249,1250-1499,Scandinavian Defense,c5,B-B-f,W-B-c,1
0-1249,1250-1499,Scandinavian Defense,c5,W-B-c,B-P-b,1
0-1249,1250-1499,Scandinavian Defense,c6,B-N-b,W-B-f,1
0-1249,1250-1499,Scandinavian Defense,d1,B-R-a,W-B-f,1
0-1249,1250-1499,Scandinavian Defense,d1,W-R-h,B-R-a,1
0-1249,1250-1499,Scandinavian Defense,d4,B-P-b,W-R-a,1
0-1249,1250-1499,Scandinavian Defense,d4,W-P-d,B-P-b,1
0-1249,1250-1499,Scandinavian Defense,d5,B-P-d,W-P-e,1
0-1249,1250-1499,Scandinavian Defense,d5,W-P-e,B-Q,1
0-1249,1250-1499,Scandinavian Defense,f2,W-P-f,B-R-h,1
0-1249,1250-1499,Scandinavian Defense,f3,B-P-e,W-B-f,1
0-1249,1250-1499,Scandinavian Defense,f3,B-Q,W-Q,1
0-1249,1250-1499,Scandinavian Defense,f3,W-N-g,B-Q,1
0-1249,1250-1499,Scandinavian Defense,f3,W-Q,B-P-e,1
0-1249,1250-1499,Scandinavian Defense,f6,B-N-g,W-N-b,1
0-1249,1250-1499,Scandinavian Defense,f6,B-P-g,W-R-a,1
0-1249,1250-1499,Scandinavian Defense,f6,W-N-b,B-P-g,1
0-1249,1500-1749,French Defense,c5,B-P-c,W-P-d,1
0-1249,1500-1749,French Defense,c6,B-N-b,W-B-f,1
0-1249,1500-1749,French Defense,c6,B-N-g,W-N-g,1
0-1249,1500-1749,French Defense,c6,B-P-b,W-N-g,1
0-1249,1500-1749,French Defense,c6,W-B-f,B-P-b,1
0-1249,1500-1749,French Defense,d5,B-P-d,W-P-e,1
0-1249,1500-1749,French Defense,d5,B-P-e,W-Q,1
0-1249,1500-1749,French Defense,d5,W-P-e,B-P-e,1
0-1249,1500-1749,French Defense,e7,B-B-f,W-Q,1
0-1249,1500-1749,French Defense,e7,B-Q,W-R-h,1
0-1249,1500-1749,French Defense,e7,W-R-h,B-N-g,1
0-1249,1500-1749,Other,a6,W-P-a,B-P-b,1
0-1249,1500-1749,Other,a7,B-P-a,W-Q,1
0-1249,1500-1749,Other,a8,B-R-a,W-Q,1
0-1249,1500-1749,Other,c5,B-B-f,W-P-b,1
0-1249,1500-1749,Other,d1,B-Q,W-K,1
0-1249,1500-1749,Other,d1,W-Q,B-Q,1
0-1249,1500-1749,Other,d3,B-P-c,W-P-c,1
0-1249,1500-1749,Other,d3,B-P-e,W-B-f,1
0-1249,1500-1749,Other,d3,B-Q,W-Q,1
0-1249,1500-1749,Other,d3,W-B-f,B-Q,1
0-1249,1500-1749,Other,d3,W-P-c,B-P-e,1
0-1249,1500-1749,Other,d4,B-P-d,W-P-e,1
0-1249,1500-1749,Other,d4,W-P-e,B-P-c,1
0-1249,1500-1749,Other,e4,B-P-d,W-P-d,1
0-1249,1500-1749,Other,e4,W-P-d,B-N-g,1
0-1249,1500-1749,Other,e4,W-P-e,B-P-d,1
0-1249,1500-1749,Other,e5,B-P-e,W-P-g,1
0-1249,1500-1749,Other,e5,W-P-g,B-N-b,1
0-1249,1500-1749,Other,e8,B-K,B-R-h,1
0-1249,1500-1749,Other,f3,B-B-c,W-P-g,1
0-1249,1500-1749,Other,f3,W-N-g,B-B-c,1
0-1249,1500-1749,Other,f3,W-P-f,B-N-g,1
0-1249,1500-1749,Other,f4,W-B-c,B-N-b,1
0-1249,1500-1749,Other,f6,B-N-g,W-Q,1
0-1249,1500-1749,Other,f8,B-B-f,W-B-c,1
0-1249,1500-1749,Other,g2,B-B-c,W-Q,1
0-1249,1500-1749,Other,g2,W-P-g,B-B-c,1
0-1249,1500-1749,Other,g7,B-P-g,W-B-c,1
0-1249,1500-1749,Other,h2,W-P-h,B-N-g,1
0-1249,1500-1749,Other,h8,B-R-h,W-B-c,1
0-1249,1500-1749,Queen's Gambit,b2,W-P-b,B-B-f,1
0-1249,1500-1749,Queen's Gambit,d2,B-B-f,W-B-c,1
0-1249,1500-1749,Queen's Gambit,d2,W-N-g,B-B-f,1
0-1249,1500-1749,Queen's Gambit,d5,B-P-c,W-P-c,1
0-1249,1500-1749,Queen's Gambit,d5,W-P-d,B-P-c,1
0-1249,1500-1749,Queen's Gambit,d7,B-B-c,W-B-f,1
0-1249,1500-1749,Queen's Gambit,d7,W-B-f,B-K,1
0-1249,1500-1749,Queen's Gambit,e4,B-P-d,W-N-b,1
0-1249,1500-1749,Queen's Gambit,e4,B-P-e,W-Q,1
0-1249,1500-1749,Queen's Gambit,e4,W-P-e,B-P-d,1
0-1249,1500-1749,Queen's Gambit,f6,B-N-g,W-N-b,1
0-1249,1500-1749,Queen's Gambit,f6,W-N-b,B-B-f,1
0-1249,1500-1749,Scandinavian Defense,a3,B-B-f,W-Q,1
0-1249,1500-1749,Scandinavian Defense,a8,B-R-a,W-N-b,1
0-1249,1500-1749,Scandinavian Defense,b4,W-P-b,B-B-f,1
0-1249,1500-1749,Scandinavian Defense,b5,B-Q,W-N-b,1
0-1249,1500-1749,Scandinavian Defense,c7,B-N-b,W-Q,1
0-1249,1500-1749,Scandinavian Defense,c7,B-P-c,W-N-b,1
0-1249,1500-1749,Scandinavian Defense,c7,W-N-b,B-N-b,1
0-1249,1500-1749,Scandinavian Defense,c8,B-B-c,W-Q,1
0-1249,1500-1749,Scandinavian Defense,d5,B-P-d,W-P-e,1
0-1249,1500-1749,Scandinavian Defense,d5,W-P-e,B-Q,1
0-1249,1500-1749,Scandinavian Defense,e6,B-P-e,W-Q,1
0-1249,1500-1749,Scandinavian Defense,f5,B-P-f,W-Q,1
0-1249,1500-1749,Scandinavian Defense,g6,B-N-g,W-Q,1
0-1249,1500-1749,Scandinavian Defense,h5,B-P-h,W-Q,1
0-1249,1750+,Other,a2,B-N-b,W-R-a,1
0-1249,1750+,Other,a2,W-P-a,B-N-b,1
0-1249,1750+,Other,a8,B-R-a,W-B-f,1
0-1249,1750+,Other,a8,B-R-a,W-N-b,1
0-1249,1750+,Other,b5,B-P-b,W-B-f,1
0-1249,1750+,Other,c3,B-B-f,W-P-b,1
0-1249,1750+,Other,c3,B-P-d,W-N-b,1
0-1249,1750+,Other,c3,W-P-c,B-B-f,1
0-1249,1750+,Other,c4,W-B-f,B-P-d,1
0-1249,1750+,Other,c6,B-P-c,W-P-c,1
0-1249,1750+,Other,c6,B-P-c,W-P-e,1
0-1249,1750+,Other,c6,B-P-d,W-B-f,1
0-1249,1750+,Other,c6,W-P-c,B-P-d,1
0-1249,1750+,Other,c6,W-P-e,B-P-b,1
0-1249,1750+,Other,c7,B-P-c,W-N-b,1
0-1249,1750+,Other,d3,B-N-b,W-Q,1
0-1249,1750+,Other,d4,B-B-f,W-B-c,1
0-1249,1750+,Other,d4,B-B-f,W-Q,1
0-1249,1750+,Other,d4,B-N-b,W-N-g,1
0-1249,1750+,Other,d4,B-P-e,W-P-c,1
0-1249,1750+,Other,d4,W-N-g,B-B-f,2
0-1249,1750+,Other,d4,W-P-d,B-P-e,1
0-1249,1750+,Other,d5,B-B-c,W-P-e,1
0-1249,1750+,Other,d5,B-N-g,W-P-e,1
0-1249,1750+,Other,d5,B-P-c,W-B-f,1
0-1249,1750+,Other,d5,B-P-d,W-P-e,2
0-1249,1750+,Other,d5,B-P-e,W-B-f,1
0-1249,1750+,Other,d5,B-P-e,W-Q,1
0-1249,1750+,Other,d5,W-B-f,B-N-g,1
0-1249,1750+,Other,d5,W-N-b,B-B-c,1
0-1249,1750+,Other,d5,W-P-d,B-P-c,1
0-1249,1750+,Other,d5,W-P-d,B-P-e,1
0-1249,1750+,Other,d5,W-P-e,B-N-b,1
0-1249,1750+,Other,d5,W-P-e,B-P-e,1
0-1249,1750+,Other,d6,B-B-f,W-N-b,1
0-1249,1750+,Other,d6,B-Q,W-Q,1
0-1249,1750+,Other,d6,W-N-b,B-Q,1
0-1249,1750+,Other,d7,B-B-c,W-Q,1
