level_0,Site,SAN,LAN,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
40,https://lichess.org/FXsStJfd,Qc2,Qd2-c2,white,Qd2,c2,d2,c2,Queen,move,42,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,
41,https://lichess.org/FXsStJfd,Bc5,Bb4-c5,black,Bb4,c5,b4,c5,Bishop,move,43,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-f,
42,https://lichess.org/FXsStJfd,Nd1,Nc3-d1,white,Nc3,d1,c3,d1,Knight,move,44,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,
43,https://lichess.org/FXsStJfd,Bd6,Bc5-d6,black,Bc5,d6,c5,d6,Bishop,move,45,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-f,
44,https://lichess.org/FXsStJfd,Nf2,Nd1-f2,white,Nd1,f2,d1,f2,Knight,move,46,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,
45,https://lichess.org/FXsStJfd,Nhf4,Nh5-f4,black,Nh5,f4,h5,f4,Knight,move,47,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-g,
46,https://lichess.org/FXsStJfd,Rc1,Rf1-c1,white,Rf1,c1,f1,c1,Rook,move,48,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,
47,https://lichess.org/FXsStJfd,Qg5,Qe7-g5,black,Qe7,g5,e7,g5,Queen,move,49,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
48,https://lichess.org/FXsStJfd,Kh1,Kg1-h1,white,Kg1,h1,g1,h1,King,move,50,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,
49,https://lichess.org/FXsStJfd,Qh5,Qg5-h5,black,Qg5,h5,g5,h5,Queen,move,51,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
50,https://lichess.org/FXsStJfd,Ng1,Ne2-g1,white,Ne2,g1,e2,g1,Knight,move,52,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-g,
